content,date,dianzan,director,name,region,star,type,user_id

"1.本片最大bug：百度“西林”只能搜到满篇的阿莫西林广告，警方从而断定反派是救死扶伤的医生，断定道恩·强森是坏蛋，全剧终。
2.其实这是丁克宣传片+内地宣传片。家人太危险，单身保平安。香港治安差，内地最安全。
3.道恩·强森可以接班连姆·尼森了，把全宇宙都营救一遍。
4.昆凌被狠狠踹了一脚，求周董心理阴影面积。
5.《黑暗骑士》里黄经汉在香港的大厦被蝙蝠侠打得稀烂，《摩天营救》里黄经汉在香港的大厦又被黑亚当打得稀烂，最后你还想在香港修大厦？
6.iPhone这下知道面部识别有多么不安全了吧？
【片尾无彩蛋】",2018-07-12,983,罗森·马歇尔·瑟伯,摩天营救,美国,allstar30 rating,"动作,惊悚,冒险",凌睿

妈蛋，这才是暑期档最应该看的也是唯一的好莱坞动作大片哇。刺激到想哭，紧张到想哭。并且，这片里有世上最奇特的cp组合，那就是巨石强生+摩天大楼。最阳刚彪悍的汉子，与最阴柔妖娆的摩天楼，才是真正的cp啊。,2018-07-12,674,罗森·马歇尔·瑟伯,摩天营救,美国,allstar40 rating,"动作,惊悚,冒险",无耻不混蛋

赵真的是太可怜了，一个人躲在失火的珍珠塔里那么久，吃瓜群众在围观强森的高空挑战，警察在和嫌疑犯周旋，愣是没有一个人想到要派架直升机过来救他这个珍珠塔CEO😂,2018-07-20,563,罗森·马歇尔·瑟伯,摩天营救,美国,allstar30 rating,"动作,惊悚,冒险",RUNE

废话没有，就是干！期待强森下一次去空间站啊，什么宇宙，黑洞，冥王星，银河系啊来一次营救，地球已经装不下他了！,2018-07-13,529,罗森·马歇尔·瑟伯,摩天营救,美国,allstar30 rating,"动作,惊悚,冒险",朝阳区白百合

“自己家房子着火了，才知道什么最珍贵” 恐高症患者的福音，看得手心狂冒汗，前列腺时松时紧…巨石的中国票房力越来越强，纯粹的爆米花，适合工作后放松。,2018-07-12,488,罗森·马歇尔·瑟伯,摩天营救,美国,allstar40 rating,"动作,惊悚,冒险",影志

巨型撸管电影，有两场戏吓尿了，然后想尿尿被万达CBD请的安保拦住了,2018-07-02,300,罗森·马歇尔·瑟伯,摩天营救,美国,allstar30 rating,"动作,惊悚,冒险",法兰西胶片

我知道，你们又来这一套...不能说是一部标准的烂片，但又绝不是那种值得推荐和回味的电影，只能称之为一件依托于好莱坞工业水准和明星效应的流水线产品，在那一跳之后整部片就开启了无聊模式。从灾难设定到故事模式都极其廉价，先赋予主角一个巨厉害的身份（退伍军人），随之而来的是英雄去势（身负重伤变残疾），之后又将主角安插在一个极具噱头的环境（香港摩天大楼），紧接着是制造困难（主角被陷害&家人的危机），至于结局每个观众都早已了然于胸。基本是把巨石强森当成巅峰时期的成龙在使，不过即使是巅峰的成龙也不敢这样玩（说到底还是感谢CG特效的发达）。而且稍微对比一下就会发现，其实这类片还不如《逃出生天》《摩天轮》耐看；仔细想想，《寒战》苦口婆心地标榜香港为“全亚洲最安全城市”，轻而易举地就被一部内地资本参与的影片毁于一旦。,2018-07-14,229,罗森·马歇尔·瑟伯,摩天营救,美国,allstar20 rating,"动作,惊悚,冒险",痞影人科莱昂

没啥可看的，也就是喜闻乐见的爽片,2018-07-17,138,罗森·马歇尔·瑟伯,摩天营救,美国,allstar20 rating,"动作,惊悚,冒险",强迫症不能好了

