actors,comment_count,director,name,profile,publication_date,star
主演:蒂姆·罗宾斯TimRobbins/...,1077721人评价,导演:弗兰克·德拉邦特FrankDarabont,肖申克的救赎,希望让人自由。,1994 / 美国 / 犯罪剧情,9.6
主演:张国荣LeslieCheung/张丰毅FengyiZha...,785797人评价,导演:陈凯歌KaigeChen,霸王别姬,风华绝代。,1993 / 中国大陆香港 / 剧情爱情同性,9.5
主演:让·雷诺JeanReno/娜塔莉·波特曼...,1003110人评价,导演:吕克·贝松LucBesson,这个杀手不太冷,怪蜀黍和小萝莉不得不说的故事。,1994 / 法国 / 剧情动作犯罪,9.4
主演:TomHanks/RobinWrightPenn/GarySinise,854695人评价,导演:RobertZemeckis,阿甘正传,一部美国近现代史。,1994 / 美国 / 剧情爱情,9.4
主演:罗伯托·贝尼尼RobertoBeni...,499504人评价,导演:罗伯托·贝尼尼RobertoBenigni,美丽人生,最美的谎言。,1997 / 意大利 / 剧情喜剧爱情战争,9.5
主演:莱昂纳多·迪卡普里奥Leonardo...,793872人评价,导演:詹姆斯·卡梅隆JamesCameron,泰坦尼克号,失去的才是永恒的。 ,1997 / 美国 / 剧情爱情灾难,9.3
主演:柊瑠美RumiHîragi/入野自由Miy...,798683人评价,导演:宫崎骏HayaoMiyazaki,千与千寻,最好的宫崎骏，最好的久石让。 ,2001 / 日本 / 剧情动画奇幻,9.3
主演:连姆·尼森LiamNeeson...,452966人评价,导演:史蒂文·斯皮尔伯格StevenSpielberg,辛德勒的名单,拯救一个人，就是拯救整个世界。,1993 / 美国 / 剧情历史战争,9.4
主演:莱昂纳多·迪卡普里奥Le...,887518人评价,导演:克里斯托弗·诺兰ChristopherNolan,盗梦空间,诺兰给了我们一场无法盗取的梦。,2010 / 美国英国 / 剧情科幻悬疑冒险,9.3
主演:本·贝尔特BenBurtt/艾丽...,582779人评价,导演:安德鲁·斯坦顿AndrewStanton,机器人总动员,小瓦力，大人生。,2008 / 美国 / 爱情科幻动画冒险,9.3
主演:阿米尔·汗AamirKhan/卡...,799025人评价,导演:拉库马·希拉尼RajkumarHirani,三傻大闹宝莱坞,英俊版憨豆，高情商版谢耳朵。,2009 / 印度 / 剧情喜剧爱情歌舞,9.2
主演:蒂姆·罗斯TimRoth/...,678786人评价,导演:朱塞佩·托纳多雷GiuseppeTornatore,海上钢琴师,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,1998 / 意大利 / 剧情音乐,9.2
主演:理查·基尔RichardGer...,558035人评价,导演:莱塞·霍尔斯道姆LasseHallström,忠犬八公的故事,永远都不能忘记你所爱的人。,2009 / 美国英国 / 剧情,9.2
主演:杰拉尔·朱诺Géra...,537316人评价,导演:克里斯托夫·巴拉蒂ChristopheBarratier,放牛班的春天,天籁一般的童声，是最接近上帝的存在。 ,2004 / 法国瑞士德国 / 剧情音乐,9.2
主演:周星驰StephenChow/吴孟达ManTatNg...,589467人评价,导演:刘镇伟JeffreyLau,大话西游之大圣娶亲,一生所爱。,1995 / 香港中国大陆 / 喜剧爱情奇幻冒险,9.2
主演:金·凯瑞JimCarrey/劳拉·琳妮Lau...,563920人评价,导演:彼得·威尔PeterWeir,楚门的世界,如果再也不能见到你，祝你早安，午安，晚安。,1998 / 美国 / 剧情科幻,9.1
主演:日高法子NorikoHidaka/坂本千夏Ch...,494860人评价,导演:宫崎骏HayaoMiyazaki,龙猫,人人心中都有个龙猫，童年就永远不会消失。,1988 / 日本 / 儿童动画奇幻家庭,9.1
主演:马龙·白兰度M...,401278人评价,导演:弗朗西斯·福特·科波拉FrancisFordCoppola,教父,千万不要记恨你的对手，这样会让你失去理智。,1972 / 美国 / 剧情犯罪,9.2
主演:马修·麦康纳MatthewMc...,589455人评价,导演:克里斯托弗·诺兰ChristopherNolan,星际穿越,爱是一种力量，让我们超越时空感知它的存在。,2014 / 美国英国加拿大冰岛 / 剧情科幻冒险,9.2
主演:孔侑YooGong/郑有美Yu-miJeong...,327081人评价,导演:黄东赫Dong-hyukHwang,熔炉,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,2011 / 韩国 / 剧情,9.2
主...,434290人评价,导演:奥利维·那卡什OlivierNakache/艾力克·托兰达EricToledano,触不可及,满满温情的高雅喜剧。,2011 / 法国 / 剧情喜剧,9.2
主演:费...,310169人评价,导演:维克多·弗莱明VictorFleming/乔治·库克GeorgeCukor,乱世佳人,Tomorrow is another day.,1939 / 美国 / 剧情历史爱情战争,9.2
主演:刘德华/梁朝伟/黄秋生,480717人评价,导演:刘伟强/麦兆辉,无间道,香港电影史上永不过时的杰作。,2002 / 香港 / 剧情犯罪悬疑,9.1
主演:威尔·史密斯WillSmith...,634291人评价,导演:加布里尔·穆奇诺GabrieleMuccino,当幸福来敲门,平民励志片。 ,2006 / 美国 / 剧情传记家庭,8.9
主演:玛德琳·卡罗尔MadelineCarroll/卡...,670570人评价,导演:罗伯·莱纳RobReiner,怦然心动,真正的幸福是来自内心深处。,2010 / 美国 / 剧情喜剧爱情,8.9
主演:安东娜拉·塔莉Antonel...,347663人评价,导演:朱塞佩·托纳多雷GiuseppeTornatore,天堂电影院,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,1988 / 意大利法国 / 剧情爱情,9.1
主演:亨利·方达HenryFonda/马丁·鲍尔萨姆Marti...,198819人评价,导演:SidneyLumet,十二怒汉,1957年的理想主义。 ,1957 / 美国 / 剧情,9.4
主演:姜文WenJiang/香川照之TeruyukiKagawa/...,274833人评价,导演:姜文WenJiang,鬼子来了,对敌人的仁慈，就是对自己残忍。,2000 / 中国大陆 / 剧情历史战争,9.2
主演:克里斯蒂安·贝尔Christ...,387646人评价,导演:克里斯托弗·诺兰ChristopherNolan,蝙蝠侠：黑暗骑士,无尽的黑暗。,2008 / 美国英国 / 剧情动作科幻犯罪惊悚,9.1
主演:苏拉·沙玛SurajSharma/伊尔凡·可汗Irrfan...,664875人评价,导演:李安AngLee,少年派的奇幻漂流,瑰丽壮观、无人能及的冒险之旅。,2012 / 美国台湾英国加拿大 / 剧情奇幻冒险,9.0
主演:葛优YouGe/巩俐LiGong/姜武WuJiang,322539人评价,导演:张艺谋YimouZhang,活着,张艺谋最好的电影。,1994 / 中国大陆香港 / 剧情历史家庭,9.1
主演:爱德华·诺顿EdwardNorton/布拉...,445806人评价,导演:大卫·芬奇DavidFincher,搏击俱乐部,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,1999 / 美国德国 / 剧情动作悬疑惊悚,9.0
主演:金妮弗·...,622506人评价,导演:拜伦·霍华德ByronHoward/瑞奇·摩尔RichMoore,疯狂动物城,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,2016 / 美国 / 喜剧动画冒险,9.1
主演:维果·莫腾森ViggoMortensen/...,326770人评价,导演:彼得·杰克逊PeterJackson,指环王3：王者无敌,史诗的终章。,2003 / 美国新西兰 / 剧情动作奇幻冒险,9.1
主演:田中真弓MayumiTanaka/横泽启子Ke...,384313人评价,导演:宫崎骏HayaoMiyazaki,天空之城,对天空的追逐，永不停止。 ,1986 / 日本 / 动画奇幻冒险,9.0
主演:周星驰StephenChow/吴孟达ManTatNg...,474569人评价,导演:刘镇伟JeffreyLau,大话西游之月光宝盒,旷古烁今。,1995 / 香港中国大陆 / 喜剧爱情奇幻冒险,8.9
主演:奥黛丽·赫本AudreyHepburn/格...,442287人评价,导演:威廉·惠勒WilliamWyler,罗马假日,爱情哪怕只有一天。,1953 / 美国 / 喜剧剧情爱情,8.9
主演:爱德...,577073人评价,导演:彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson,飞屋环游记,最后那些最无聊的事情，才是最值得怀念的。 ,2009 / 美国 / 剧情喜剧动画冒险,8.9
主演:查尔斯·劳顿CharlesLaughton/...,122498人评价,导演:比利·怀尔德BillyWilder,控方证人,比利·怀德满分作品。,1957 / 美国 / 剧情犯罪悬疑,9.6
...,260170人评价,导演:弗洛里安·亨克尔·冯·多纳斯马FlorianHenckelvonDonnersmarck,窃听风暴,别样人生。,2006 / 德国 / 剧情悬疑,9.1
主演:JasonFlemyng/DexterFletcher/NickMoran,305883人评价,导演:GuyRitchie,两杆大烟枪,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,1998 / 英国 / 剧情喜剧犯罪,9.1
主演:杰克·尼科尔森JackNichols...,310465人评价,导演:米洛斯·福尔曼MilošForman,飞越疯人院,自由万岁。,1975 / 美国 / 剧情,9.0
主演:阿尔·帕西诺AlPacino/克里斯...,373986人评价,导演:马丁·布莱斯MartinBrest,闻香识女人,史上最美的探戈。,1992 / 美国 / 剧情,8.9
主演:倍赏千惠子ChiekoBaishô/木村拓...,411515人评价,导演:宫崎骏HayaoMiyazaki,哈尔的移动城堡,带着心爱的人在天空飞翔。,2004 / 日本 / 动画奇幻冒险,8.9
主演:宋康昊Kang-hoSong/吴达洙Dal-suO...,252546人评价,导演:杨宇硕Woo-seokYang,辩护人,电影的现实意义大过电影本身。,2013 / 韩国 / 剧情,9.2
主演:JohnChisholm/Mandy-RaeCruikshank/Char...,202414人评价,导演:LouiePsihoyos,海豚湾,海豚的微笑，是世界上最高明的伪装。,2009 / 美国 / 纪录片,9.3
主演:娜塔莉·波特曼NataliePor...,484267人评价,导演:詹姆斯·麦克特格JamesMcTeigue,V字仇杀队,一张面具背后的理想与革命。,2005 / 美国英国德国 / 剧情动作科幻惊悚,8.8
主演:罗宾·威廉姆斯RobinWilliams/罗伯...,321972人评价,导演:彼得·威尔PeterWeir,死亡诗社,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,1989 / 美国 / 剧情,9.0
主演:阿尔·帕西诺A...,216350人评价,导演:弗朗西斯·福特·科波拉FrancisFordCoppola,教父2,优雅的孤独。,1974 / 美国 / 剧情犯罪,9.1
主演:罗素·克劳RussellCrowe/艾德·哈...,346042人评价,导演:朗·霍华德RonHoward,美丽心灵,爱是一切逻辑和原由。,2001 / 美国 / 传记剧情,8.9
主演:伊利亚·伍德ElijahWood/西恩...,307015人评价,导演:彼得·杰克逊PeterJackson,指环王2：双塔奇兵,承前启后的史诗篇章。,2002 / 美国新西兰 / 剧情动作奇幻冒险,9.0
